time,value
2.2830886E+01,1.65723E+00
2.2831069E+01,1.66699E+00
2.2831253E+01,1.77441E+00
2.2831436E+01,1.73535E+00
2.2831619E+01,1.74512E+00
2.2831803E+01,1.71582E+00
2.2831986E+01,1.74512E+00
2.2832169E+01,1.65723E+00
2.2832353E+01,1.69629E+00
2.2832536E+01,1.68652E+00
2.2832719E+01,1.70605E+00
2.2832902E+01,1.71582E+00
2.2833086E+01,1.63770E+00
2.2833269E+01,1.69629E+00
2.2833452E+01,1.73535E+00
2.2833636E+01,1.70605E+00
2.2833819E+01,1.65723E+00
2.2834002E+01,1.65723E+00
2.2834186E+01,1.68652E+00
2.2834369E+01,1.70605E+00
2.2834552E+01,1.67676E+00
2.2834735E+01,1.73535E+00
2.2834919E+01,1.69629E+00
2.2835102E+01,1.71582E+00
2.2835285E+01,1.74512E+00
2.2835469E+01,1.72559E+00
2.2835652E+01,1.72559E+00
2.2835835E+01,1.63770E+00
2.2836019E+01,1.72559E+00
2.2836202E+01,1.71582E+00
2.2836385E+01,1.70605E+00
2.2836568E+01,1.67676E+00
2.2836752E+01,1.79395E+00
2.2836935E+01,1.63770E+00
2.2837118E+01,1.72559E+00
2.2837302E+01,1.70605E+00
2.2837485E+01,1.69629E+00
2.2837668E+01,1.63770E+00
2.2837852E+01,1.76465E+00
2.2838035E+01,1.64746E+00
2.2838218E+01,1.70605E+00
2.2838401E+01,1.73535E+00
2.2838585E+01,1.68652E+00
2.2838768E+01,1.69629E+00
2.2838951E+01,1.76465E+00
2.2839135E+01,1.65723E+00
2.2839318E+01,1.72559E+00
2.2839501E+01,1.68652E+00
2.2839685E+01,1.71582E+00
2.2839868E+01,1.67676E+00
2.2840051E+01,1.63770E+00
2.2840234E+01,1.70605E+00
2.2840418E+01,1.73535E+00
2.2840601E+01,1.70605E+00
2.2840784E+01,1.73535E+00
2.2840968E+01,1.72559E+00
2.2841151E+01,1.68652E+00
2.2841334E+01,1.67676E+00
2.2841518E+01,1.70605E+00
2.2841701E+01,1.70605E+00
2.2841884E+01,1.73535E+00
2.2842067E+01,1.71582E+00
2.2842251E+01,1.73535E+00
2.2842434E+01,1.68652E+00
2.2842617E+01,1.73535E+00
2.2842801E+01,1.67676E+00
2.2842984E+01,1.70605E+00
2.2843167E+01,1.71582E+00
2.2843351E+01,1.66699E+00
2.2843534E+01,1.66699E+00
2.2843717E+01,1.59863E+00
2.2843900E+01,1.66699E+00
2.2844084E+01,1.71582E+00
2.2844267E+01,1.68652E+00
2.2844450E+01,1.68652E+00
2.2844634E+01,1.74512E+00
2.2844817E+01,1.67676E+00
2.2845000E+01,1.64746E+00
2.2845184E+01,1.71582E+00
2.2845367E+01,1.66699E+00
2.2845550E+01,1.67676E+00
2.2845733E+01,1.70605E+00
2.2845917E+01,1.68652E+00
2.2846100E+01,1.72559E+00
2.2846283E+01,1.62793E+00
2.2846467E+01,1.67676E+00
2.2846650E+01,1.67676E+00
2.2846833E+01,1.59863E+00
2.2847017E+01,1.66699E+00
2.2847200E+01,1.66699E+00
2.2847383E+01,1.67676E+00
2.2847566E+01,1.64746E+00
2.2847750E+01,1.67676E+00
2.2847933E+01,1.67676E+00
2.2848116E+01,1.69629E+00
2.2848300E+01,1.60840E+00
2.2848483E+01,1.68652E+00
2.2848666E+01,1.69629E+00
2.2848850E+01,1.70605E+00
2.2849033E+01,1.66699E+00
2.2849216E+01,1.71582E+00
2.2849399E+01,1.69629E+00
2.2849583E+01,1.69629E+00
2.2849766E+01,1.71582E+00
2.2849949E+01,1.72559E+00
2.2850133E+01,1.63770E+00
2.2850316E+01,1.71582E+00
2.2850499E+01,1.69629E+00
2.2850683E+01,1.70605E+00
2.2850866E+01,1.64746E+00
2.2851049E+01,1.70605E+00
2.2851232E+01,1.61816E+00
2.2851416E+01,1.69629E+00
2.2851599E+01,1.63770E+00
2.2851782E+01,1.62793E+00
2.2851966E+01,1.70605E+00
2.2852149E+01,1.67676E+00
2.2852332E+01,1.77441E+00
2.2852516E+01,1.68652E+00
2.2852699E+01,1.67676E+00
2.2852882E+01,1.65723E+00
2.2853065E+01,1.70605E+00
2.2853249E+01,1.64746E+00
2.2853432E+01,1.69629E+00
2.2853615E+01,1.63770E+00
2.2853799E+01,1.69629E+00
2.2853982E+01,1.64746E+00
2.2854165E+01,1.72559E+00
2.2854349E+01,1.64746E+00
2.2854532E+01,1.69629E+00
2.2854715E+01,1.65723E+00
2.2854898E+01,1.70605E+00
2.2855082E+01,1.68652E+00
2.2855265E+01,1.62793E+00
2.2855448E+01,1.66699E+00
2.2855632E+01,1.71582E+00
2.2855815E+01,1.67676E+00
2.2855998E+01,1.67676E+00
2.2856182E+01,1.60840E+00
2.2856365E+01,1.61816E+00
2.2856548E+01,1.63770E+00
2.2856731E+01,1.69629E+00
2.2856915E+01,1.62793E+00
2.2857098E+01,1.70605E+00
2.2857281E+01,1.68652E+00
2.2857465E+01,1.72559E+00
2.2857648E+01,1.67676E+00
2.2857831E+01,1.72559E+00
2.2858015E+01,1.56934E+00
2.2858198E+01,1.66699E+00
2.2858381E+01,1.66699E+00
2.2858564E+01,1.68652E+00
2.2858748E+01,1.62793E+00
2.2858931E+01,1.72559E+00
2.2859114E+01,1.63770E+00
2.2859298E+01,1.65723E+00
2.2859481E+01,1.70605E+00
2.2859664E+01,1.64746E+00
2.2859848E+01,1.70605E+00
2.2860031E+01,1.66699E+00
2.2860214E+01,1.67676E+00
2.2860397E+01,1.66699E+00
2.2860581E+01,1.74512E+00
2.2860764E+01,1.68652E+00
2.2860947E+01,1.66699E+00
2.2861131E+01,1.71582E+00
2.2861314E+01,1.66699E+00
2.2861497E+01,1.63770E+00
2.2861681E+01,1.74512E+00
2.2861864E+01,1.74512E+00
2.2862047E+01,1.64746E+00
2.2862230E+01,1.67676E+00
2.2862414E+01,1.68652E+00
2.2862597E+01,1.67676E+00
2.2862780E+01,1.57910E+00
2.2862964E+01,1.66699E+00
2.2863147E+01,1.68652E+00
2.2863330E+01,1.64746E+00
2.2863514E+01,1.64746E+00
2.2863697E+01,1.64746E+00
2.2863880E+01,1.69629E+00
2.2864063E+01,1.67676E+00
2.2864247E+01,1.66699E+00
2.2864430E+01,1.59863E+00
2.2864613E+01,1.70605E+00
2.2864797E+01,1.64746E+00
2.2864980E+01,1.70605E+00
2.2865163E+01,1.61816E+00
2.2865347E+01,1.65723E+00
2.2865530E+01,1.66699E+00
2.2865713E+01,1.68652E+00
2.2865896E+01,1.69629E+00
2.2866080E+01,1.65723E+00
2.2866263E+01,1.69629E+00
2.2866446E+01,1.60840E+00
2.2866630E+01,1.68652E+00
2.2866813E+01,1.64746E+00
2.2866996E+01,1.61816E+00
2.2867180E+01,1.69629E+00
2.2867363E+01,1.67676E+00
2.2867546E+01,1.64746E+00
2.2867729E+01,1.66699E+00
2.2867913E+01,1.65723E+00
2.2868096E+01,1.63770E+00
2.2868279E+01,1.65723E+00
2.2868463E+01,1.68652E+00
2.2868646E+01,1.64746E+00
2.2868829E+01,1.64746E+00
2.2869013E+01,1.69629E+00
2.2869196E+01,1.67676E+00
2.2869379E+01,1.63770E+00
2.2869562E+01,1.59863E+00
2.2869746E+01,1.72559E+00
2.2869929E+01,1.75488E+00
2.2870112E+01,1.63770E+00
2.2870296E+01,1.64746E+00
2.2870479E+01,1.64746E+00
2.2870662E+01,1.61816E+00
2.2870846E+01,1.64746E+00
2.2871029E+01,1.71582E+00
2.2871212E+01,1.65723E+00
2.2871395E+01,1.67676E+00
2.2871579E+01,1.63770E+00
2.2871762E+01,1.57910E+00
2.2871945E+01,1.70605E+00
2.2872129E+01,1.72559E+00
2.2872312E+01,1.69629E+00
2.2872495E+01,1.64746E+00
2.2872679E+01,1.63770E+00
2.2872862E+01,1.66699E+00
2.2873045E+01,1.70605E+00
2.2873228E+01,1.70605E+00
2.2873412E+01,1.68652E+00
2.2873595E+01,1.67676E+00
2.2873778E+01,1.62793E+00
2.2873962E+01,1.64746E+00
2.2874145E+01,1.63770E+00
2.2874328E+01,1.66699E+00
2.2874512E+01,1.66699E+00
2.2874695E+01,1.67676E+00
2.2874878E+01,1.62793E+00
2.2875061E+01,1.64746E+00
2.2875245E+01,1.65723E+00
2.2875428E+01,1.64746E+00
2.2875611E+01,1.66699E+00
2.2875795E+01,1.66699E+00
2.2875978E+01,1.69629E+00
2.2876161E+01,1.74512E+00
2.2876345E+01,1.64746E+00
2.2876528E+01,1.70605E+00
2.2876711E+01,1.67676E+00
2.2876894E+01,1.63770E+00
2.2877078E+01,1.66699E+00
2.2877261E+01,1.69629E+00
2.2877444E+01,1.68652E+00
2.2877628E+01,1.64746E+00
2.2877811E+01,1.64746E+00
2.2877994E+01,1.70605E+00
2.2878178E+01,1.65723E+00
2.2878361E+01,1.68652E+00
2.2878544E+01,1.65723E+00
2.2878727E+01,1.59863E+00
2.2878911E+01,1.65723E+00
2.2879094E+01,1.62793E+00
2.2879277E+01,1.64746E+00
2.2879461E+01,1.65723E+00
2.2879644E+01,1.68652E+00
2.2879827E+01,1.68652E+00
2.2880011E+01,1.61816E+00
2.2880194E+01,1.63770E+00
2.2880377E+01,1.67676E+00
2.2880560E+01,1.68652E+00
2.2880744E+01,1.72559E+00
2.2880927E+01,1.60840E+00
2.2881110E+01,1.74512E+00
2.2881294E+01,1.65723E+00
2.2881477E+01,1.65723E+00
2.2881660E+01,1.61816E+00
2.2881844E+01,1.60840E+00
2.2882027E+01,1.60840E+00
2.2882210E+01,1.68652E+00
2.2882393E+01,1.66699E+00
